Employee_No,onTimeIN,onTimeOUT
347,121,457
348,460,524
349,6,63
351,111,94
352,399,550
354,478,565
355,556,628
356,220,463
359,261,228
360,31,41
361,436,527
363,47,38
373,431,445
376,515,584
377,445,515
380,561,599
381,352,413
383,575,662
384,352,516
385,323,461
389,330,434
392,347,405
393,490,496
394,281,306
396,449,495
399,169,174
400,547,657
401,464,504
402,1,3
404,512,525
408,504,567
410,46,41
411,595,674
413,111,123
415,138,143
416,38,55
417,199,269
419,21,29
420,488,538
421,306,322
423,415,434
424,112,115
425,346,400
426,100,50
427,423,422
431,611,569
433,412,394
434,123,91
435,459,582
436,485,531
437,29,118
438,82,505
440,239,430
443,106,104
446,100,89
450,37,36
453,509,518
455,254,276
461,8,7
463,469,462
466,350,327
468,444,447
471,218,194
476,78,112
481,289,466
482,2,41
486,223,218
487,485,540
495,521,513
496,343,541
501,176,209
504,23,30
505,124,117
510,76,192
516,145,414
517,224,369
523,244,244
534,37,222
536,0,4
537,438,483
545,338,425
547,270,323
549,1,1
550,403,462
551,345,405
556,112,257
557,10,11
565,96,126
569,177,153
572,1,1
573,39,38
582,509,541
583,514,560
584,210,467
593,311,341
596,184,485
597,321,468
601,119,173
604,37,42
606,571,631
607,11,42
608,20,21
610,445,472
611,266,273
612,217,195
614,43,47
615,169,171
616,197,265
618,132,178
619,40,56
620,482,490
621,110,169
624,261,422
625,3,0
626,5,154
627,431,462
628,135,223
629,91,284
630,41,35
634,542,610
636,616,695
637,306,323
639,507,561
642,2,3
644,318,337
645,231,266
646,536,601
648,255,291
650,270,490
653,427,445
656,135,207
659,327,401
660,17,43
661,219,210
662,161,145
664,348,402
667,43,135
668,120,108
669,236,358
671,96,118
673,316,472
677,11,11
679,2,2
682,33,30
688,60,53
690,289,278
694,215,90
696,21,19
697,39,88
698,637,636
699,103,546
700,0,1
701,217,268
703,0,0
705,29,27
707,3,3
708,216,215
709,156,157
712,62,224
713,134,416
715,58,166
717,307,252
718,133,326
719,10,8
724,12,5
727,39,30
728,13,30
731,48,66
734,21,15
735,125,121
736,554,635
738,124,132
739,161,154
740,34,36
741,327,330
742,5,4
743,7,5
747,549,631
749,598,107
754,238,238
755,46,46
757,134,134
758,577,577
760,453,432
761,278,249
763,30,106
772,228,236
778,269,247
779,14,9
781,267,298
783,179,183
784,61,61
786,103,74
788,57,55
791,5,4
798,66,122
801,161,209
802,4,5
805,31,34
806,24,29
808,526,529
809,408,405
810,91,87
811,447,452
813,218,216
816,83,81
818,141,134
819,122,115
821,466,515
824,90,84
826,425,430
828,517,521
829,97,123
830,140,155
832,224,230
835,110,108
840,36,36
846,0,0
848,218,217
852,0,0
853,110,62
854,486,486
858,428,428
859,16,16
862,149,147
864,0,0
866,0,0
868,492,492
869,61,61
871,150,179
872,512,512
874,44,44
875,66,66
876,84,83
878,154,151
879,14,13
880,0,0
882,9,0
883,70,68
884,16,16
886,4,4
887,37,37
890,128,126
891,203,199
895,91,90
896,157,153
900,183,175
902,199,196
903,60,60
905,155,153
906,177,177
907,30,30
908,395,407
909,56,53
918,114,141
921,122,169
923,172,183
